0.9701836569766099 : k=  7, dist=chebyshev, kernel=uniform 
0.9701836569766099 : k=  7, dist=chebyshev, kernel=triweight
0.9701836569766099 : k=  7, dist=chebyshev, kernel=tricube 
0.9701836569766099 : k=  7, dist=chebyshev, kernel=triangular
0.9701836569766099 : k=  7, dist=chebyshev, kernel=quartic 
0.9701836569766099 : k=  7, dist=chebyshev, kernel=epanechnikov
0.9701836569766099 : k=  7, dist=chebyshev, kernel=cosine  
0.9701164734678798 : k=  2, dist=chebyshev, kernel=uniform 
0.9701164734678798 : k=  2, dist=chebyshev, kernel=triweight
0.9701164734678798 : k=  2, dist=chebyshev, kernel=tricube 
0.9701164734678798 : k=  2, dist=chebyshev, kernel=triangular
0.9701164734678798 : k=  2, dist=chebyshev, kernel=quartic 
0.9701164734678798 : k=  2, dist=chebyshev, kernel=epanechnikov
0.9701164734678798 : k=  2, dist=chebyshev, kernel=cosine  
0.9701164734678798 : k=  1, dist=chebyshev, kernel=uniform 
0.9701164734678798 : k=  1, dist=chebyshev, kernel=triweight
0.9701164734678798 : k=  1, dist=chebyshev, kernel=tricube 
0.9701164734678798 : k=  1, dist=chebyshev, kernel=triangular
0.9701164734678798 : k=  1, dist=chebyshev, kernel=quartic 
0.9701164734678798 : k=  1, dist=chebyshev, kernel=epanechnikov
0.9701164734678798 : k=  1, dist=chebyshev, kernel=cosine  
0.9606894686278717 : k= 37, dist=manhattan, kernel=triweight
0.9606894686278717 : k= 37, dist=manhattan, kernel=quartic 
0.9606894686278717 : k= 37, dist=euclidean, kernel=triweight
0.9606894686278717 : k= 37, dist=euclidean, kernel=quartic 
0.9606894686278717 : k= 37, dist=chebyshev, kernel=triweight
0.9606894686278717 : k= 29, dist=manhattan, kernel=triweight
0.9606894686278717 : k= 29, dist=manhattan, kernel=tricube 
0.9606894686278717 : k= 29, dist=manhattan, kernel=quartic 
0.9606894686278717 : k= 29, dist=euclidean, kernel=triweight
0.9606894686278717 : k= 29, dist=euclidean, kernel=tricube 
0.9606894686278717 : k= 29, dist=euclidean, kernel=quartic 
0.9606894686278717 : k= 29, dist=chebyshev, kernel=triweight
0.9606894686278717 : k= 29, dist=chebyshev, kernel=tricube 
0.9606894686278717 : k= 29, dist=chebyshev, kernel=quartic 
0.9606894686278717 : k= 22, dist=manhattan, kernel=triweight
0.9606894686278717 : k= 22, dist=manhattan, kernel=tricube 
0.9606894686278717 : k= 22, dist=manhattan, kernel=triangular
0.9606894686278717 : k= 22, dist=manhattan, kernel=quartic 
0.9606894686278717 : k= 22, dist=manhattan, kernel=cosine  
0.9606894686278717 : k= 22, dist=euclidean, kernel=triweight
0.9606894686278717 : k= 22, dist=euclidean, kernel=tricube 
0.9606894686278717 : k= 22, dist=euclidean, kernel=triangular
0.9606894686278717 : k= 22, dist=euclidean, kernel=quartic 
0.9606894686278717 : k= 22, dist=euclidean, kernel=cosine  
0.9606894686278717 : k= 22, dist=chebyshev, kernel=triweight
0.9606894686278717 : k= 22, dist=chebyshev, kernel=tricube 
0.9606894686278717 : k= 22, dist=chebyshev, kernel=triangular
0.9606894686278717 : k= 22, dist=chebyshev, kernel=quartic 
0.9606894686278717 : k= 22, dist=chebyshev, kernel=cosine  
0.9606894686278717 : k= 16, dist=manhattan, kernel=triangular
0.9606894686278717 : k= 16, dist=manhattan, kernel=epanechnikov
0.9606894686278717 : k= 16, dist=manhattan, kernel=cosine  
0.9606894686278717 : k= 16, dist=euclidean, kernel=tricube 
0.9606894686278717 : k= 16, dist=euclidean, kernel=triangular
0.9606894686278717 : k= 16, dist=euclidean, kernel=quartic 
0.9606894686278717 : k= 16, dist=euclidean, kernel=epanechnikov
0.9606894686278717 : k= 16, dist=euclidean, kernel=cosine  
0.9606894686278717 : k= 16, dist=chebyshev, kernel=triweight
0.9606894686278717 : k= 16, dist=chebyshev, kernel=tricube 
0.9606894686278717 : k= 16, dist=chebyshev, kernel=triangular
0.9606894686278717 : k= 16, dist=chebyshev, kernel=quartic 
0.9606894686278717 : k= 16, dist=chebyshev, kernel=epanechnikov
0.9606894686278717 : k= 16, dist=chebyshev, kernel=cosine  
0.9606894686278717 : k= 11, dist=chebyshev, kernel=triweight
0.9606894686278717 : k= 11, dist=chebyshev, kernel=tricube 
0.9606894686278717 : k= 11, dist=chebyshev, kernel=triangular
0.9606894686278717 : k= 11, dist=chebyshev, kernel=quartic 
0.9606894686278717 : k= 11, dist=chebyshev, kernel=epanechnikov
0.9606894686278717 : k= 11, dist=chebyshev, kernel=cosine  
0.9606894686278717 : k=  7, dist=manhattan, kernel=uniform 
0.9606894686278717 : k=  7, dist=euclidean, kernel=uniform 
0.9606894686278717 : k=  2, dist=manhattan, kernel=sigmoid 
0.9606894686278717 : k=  2, dist=manhattan, kernel=gaussian
0.9606894686278717 : k=  2, dist=euclidean, kernel=sigmoid 
0.9606894686278717 : k=  2, dist=euclidean, kernel=gaussian
0.9606894686278717 : k=  2, dist=chebyshev, kernel=gaussian
0.9606894686278717 : k=  1, dist=manhattan, kernel=sigmoid 
0.9606894686278717 : k=  1, dist=manhattan, kernel=logistic
0.9606894686278717 : k=  1, dist=manhattan, kernel=gaussian
0.9606894686278717 : k=  1, dist=euclidean, kernel=sigmoid 
0.9606894686278717 : k=  1, dist=euclidean, kernel=logistic
0.9606894686278717 : k=  1, dist=euclidean, kernel=gaussian
0.9606894686278717 : k=  1, dist=chebyshev, kernel=sigmoid 
0.9606894686278717 : k=  1, dist=chebyshev, kernel=logistic
0.9606894686278717 : k=  1, dist=chebyshev, kernel=gaussian
0.9515163928637013 : k= 37, dist=manhattan, kernel=tricube 
0.9515163928637013 : k= 37, dist=manhattan, kernel=triangular
0.9515163928637013 : k= 37, dist=manhattan, kernel=epanechnikov
0.9515163928637013 : k= 37, dist=manhattan, kernel=cosine  
0.9515163928637013 : k= 37, dist=euclidean, kernel=tricube 
0.9515163928637013 : k= 37, dist=euclidean, kernel=triangular
0.9515163928637013 : k= 37, dist=euclidean, kernel=epanechnikov
0.9515163928637013 : k= 37, dist=euclidean, kernel=cosine  
0.9515163928637013 : k= 37, dist=chebyshev, kernel=triangular
0.9515163928637013 : k= 37, dist=chebyshev, kernel=quartic 
0.9515163928637013 : k= 29, dist=manhattan, kernel=triangular
0.9515163928637013 : k= 29, dist=manhattan, kernel=epanechnikov
0.9515163928637013 : k= 29, dist=manhattan, kernel=cosine  
0.9515163928637013 : k= 29, dist=euclidean, kernel=triangular
0.9515163928637013 : k= 29, dist=euclidean, kernel=epanechnikov
0.9515163928637013 : k= 29, dist=euclidean, kernel=cosine  
0.9515163928637013 : k= 29, dist=chebyshev, kernel=triangular
0.9515163928637013 : k= 29, dist=chebyshev, kernel=epanechnikov
0.9515163928637013 : k= 29, dist=chebyshev, kernel=cosine  
0.9515163928637013 : k= 22, dist=manhattan, kernel=uniform 
0.9515163928637013 : k= 22, dist=manhattan, kernel=epanechnikov
0.9515163928637013 : k= 22, dist=euclidean, kernel=epanechnikov
