0.6842105263157895 : d=  8.0, dist=manhattan, kernel=uniform 
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=triweight
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=tricube 
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=triangular
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=sigmoid 
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=quartic 
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=logistic
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=gaussian
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=epanechnikov
0.6842105263157895 : d=  8.0, dist=manhattan, kernel=cosine  
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=uniform 
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=triweight
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=tricube 
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=triangular
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=sigmoid 
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=quartic 
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=logistic
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=gaussian
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=epanechnikov
0.6842105263157895 : d=  8.0, dist=euclidean, kernel=cosine  
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=uniform 
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=triweight
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=tricube 
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=triangular
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=sigmoid 
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=quartic 
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=logistic
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=gaussian
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=epanechnikov
0.6842105263157895 : d=  8.0, dist=chebyshev, kernel=cosine  
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=uniform 
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=triangular
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=sigmoid 
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=logistic
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=gaussian
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=epanechnikov
0.6842105263157895 : d=  6.0, dist=manhattan, kernel=cosine  
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=uniform 
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=triweight
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=tricube 
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=triangular
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=sigmoid 
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=quartic 
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=logistic
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=gaussian
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=epanechnikov
0.6842105263157895 : d=  6.0, dist=euclidean, kernel=cosine  
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=uniform 
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=triweight
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=tricube 
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=triangular
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=sigmoid 
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=quartic 
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=logistic
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=gaussian
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=epanechnikov
0.6842105263157895 : d=  6.0, dist=chebyshev, kernel=cosine  
0.6842105263157895 : d=  4.0, dist=manhattan, kernel=sigmoid 
0.6842105263157895 : d=  4.0, dist=manhattan, kernel=logistic
0.6842105263157895 : d=  4.0, dist=manhattan, kernel=gaussian
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=uniform 
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=triweight
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=tricube 
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=triangular
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=sigmoid 
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=quartic 
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=logistic
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=gaussian
0.6842105263157895 : d=  4.0, dist=euclidean, kernel=epanechnikov
