0.6878005885910644 : k=  4, dist=euclidean, kernel=logistic
0.6878005885910644 : k=  4, dist=chebyshev, kernel=sigmoid 
0.6878005885910644 : k=  4, dist=chebyshev, kernel=logistic
0.6878005885910644 : k=  4, dist=chebyshev, kernel=gaussian
0.6878005885910644 : k=  3, dist=euclidean, kernel=logistic
0.6878005885910644 : k=  3, dist=chebyshev, kernel=sigmoid 
0.6878005885910644 : k=  3, dist=chebyshev, kernel=logistic
0.6873564544982399 : k=151, dist=manhattan, kernel=cosine  
0.6873564544982399 : k=151, dist=euclidean, kernel=epanechnikov
0.6873564544982399 : k=106, dist=manhattan, kernel=uniform 
0.6873564544982399 : k=106, dist=euclidean, kernel=uniform 
0.6853472376504728 : k=  4, dist=euclidean, kernel=sigmoid 
0.6842105263157895 : k=198, dist=manhattan, kernel=uniform 
0.6842105263157895 : k=198, dist=manhattan, kernel=triweight
0.6842105263157895 : k=198, dist=manhattan, kernel=tricube 
0.6842105263157895 : k=198, dist=manhattan, kernel=triangular
0.6842105263157895 : k=198, dist=manhattan, kernel=sigmoid 
0.6842105263157895 : k=198, dist=manhattan, kernel=quartic 
0.6842105263157895 : k=198, dist=manhattan, kernel=logistic
0.6842105263157895 : k=198, dist=manhattan, kernel=gaussian
0.6842105263157895 : k=198, dist=manhattan, kernel=epanechnikov
0.6842105263157895 : k=198, dist=manhattan, kernel=cosine  
0.6842105263157895 : k=198, dist=euclidean, kernel=uniform 
0.6842105263157895 : k=198, dist=euclidean, kernel=triweight
0.6842105263157895 : k=198, dist=euclidean, kernel=tricube 
0.6842105263157895 : k=198, dist=euclidean, kernel=triangular
0.6842105263157895 : k=198, dist=euclidean, kernel=sigmoid 
0.6842105263157895 : k=198, dist=euclidean, kernel=quartic 
0.6842105263157895 : k=198, dist=euclidean, kernel=logistic
0.6842105263157895 : k=198, dist=euclidean, kernel=gaussian
0.6842105263157895 : k=198, dist=euclidean, kernel=epanechnikov
0.6842105263157895 : k=198, dist=euclidean, kernel=cosine  
0.6842105263157895 : k=198, dist=chebyshev, kernel=uniform 
0.6842105263157895 : k=198, dist=chebyshev, kernel=triweight
0.6842105263157895 : k=198, dist=chebyshev, kernel=tricube
0.6842105263157895 : k=198, dist=chebyshev, kernel=triangular
0.6842105263157895 : k=198, dist=chebyshev, kernel=sigmoid 
0.6842105263157895 : k=198, dist=chebyshev, kernel=quartic 
0.6842105263157895 : k=198, dist=chebyshev, kernel=logistic
0.6842105263157895 : k=198, dist=chebyshev, kernel=gaussian
0.6842105263157895 : k=198, dist=chebyshev, kernel=epanechnikov
0.6842105263157895 : k=198, dist=chebyshev, kernel=cosine  
0.6842105263157895 : k=151, dist=manhattan, kernel=uniform 
0.6842105263157895 : k=151, dist=manhattan, kernel=sigmoid 
0.6842105263157895 : k=151, dist=manhattan, kernel=logistic
0.6842105263157895 : k=151, dist=manhattan, kernel=gaussian
0.6842105263157895 : k=151, dist=manhattan, kernel=epanechnikov
