0.6486486486486487 : k= 1, dist=manhattan, kernel=uniform 
0.6486486486486487 : k= 1, dist=manhattan, kernel=triangular
0.6486486486486487 : k= 1, dist=manhattan, kernel=epanechnikov
0.6486486486486487 : k= 1, dist=manhattan, kernel=quartic 
0.6486486486486487 : k= 1, dist=manhattan, kernel=triweight
0.6486486486486487 : k= 1, dist=manhattan, kernel=tricube 
0.6486486486486487 : k= 1, dist=manhattan, kernel=gaussian
0.6486486486486487 : k= 1, dist=manhattan, kernel=cosine  
0.6486486486486487 : k= 1, dist=manhattan, kernel=logistic
0.6486486486486487 : k= 1, dist=manhattan, kernel=sigmoid 
0.529998189679489 : k= 1, dist=euclidean, kernel=uniform 
0.529998189679489 : k= 1, dist=euclidean, kernel=triangular
0.529998189679489 : k= 1, dist=euclidean, kernel=epanechnikov
0.529998189679489 : k= 1, dist=euclidean, kernel=quartic 
0.529998189679489 : k= 1, dist=euclidean, kernel=triweight
0.529998189679489 : k= 1, dist=euclidean, kernel=tricube 
0.5742006149116065 : k= 1, dist=euclidean, kernel=gaussian
0.529998189679489 : k= 1, dist=euclidean, kernel=cosine  
0.6110169207572458 : k= 1, dist=euclidean, kernel=logistic
0.6003576464555826 : k= 1, dist=euclidean, kernel=sigmoid 
0.4951520030761097 : k= 1, dist=chebyshev, kernel=uniform 
0.4951520030761097 : k= 1, dist=chebyshev, kernel=triangular
0.4951520030761097 : k= 1, dist=chebyshev, kernel=epanechnikov



ks = [2, 3, 7, 14]...
0.6486486486486487 : k= 2, dist=manhattan, kernel=uniform 
0.6486486486486487 : k= 2, dist=manhattan, kernel=triangular
0.6486486486486487 : k= 2, dist=manhattan, kernel=epanechnikov
0.6486486486486487 : k= 2, dist=manhattan, kernel=quartic 
0.6486486486486487 : k= 2, dist=manhattan, kernel=triweight
0.6486486486486487 : k= 2, dist=manhattan, kernel=tricube 
0.6486486486486487 : k= 2, dist=manhattan, kernel=gaussian
0.6486486486486487 : k= 2, dist=manhattan, kernel=cosine  
0.6486486486486487 : k= 2, dist=manhattan, kernel=logistic
0.6486486486486487 : k= 2, dist=manhattan, kernel=sigmoid 
0.529998189679489 : k= 2, dist=euclidean, kernel=uniform 
0.529998189679489 : k= 2, dist=euclidean, kernel=triangular
0.529998189679489 : k= 2, dist=euclidean, kernel=epanechnikov
0.529998189679489 : k= 2, dist=euclidean, kernel=quartic 
0.529998189679489 : k= 2, dist=euclidean, kernel=triweight
0.529998189679489 : k= 2, dist=euclidean, kernel=tricube 
0.5698257871336541 : k= 2, dist=euclidean, kernel=gaussian
0.529998189679489 : k= 2, dist=euclidean, kernel=cosine  
0.6150728476821192 : k= 2, dist=euclidean, kernel=logistic
0.6300649210127679 : k= 2, dist=euclidean, kernel=sigmoid 
0.4951520030761097 : k= 2, dist=chebyshev, kernel=uniform 
0.4951520030761097 : k= 2, dist=chebyshev, kernel=triangular
0.4951520030761097 : k= 2, dist=chebyshev, kernel=epanechnikov
